trace_date,Date & Time of Capture:,please see ControlDesk_Capture.DateTime
trace_headlines,DSP Program Name:,please see ControlDesk_RTProgram.ObjectFile
,Date & Time of DSP Program:,please see ControlDesk_RTProgram.DateTime
,Interval:,please see ControlDesk_Capture.Length
,Delay:,please see ControlDesk_Capture.TriggerDelay
,Downsampling:,please see ControlDesk_Capture.Downsamping
,Time Base:,please see ControlDesk_Capture.SamplingPeriod
,Trigger Signal:,please see ControlDesk_Capture.TriggerSignal
,Trigger Edge:,please see ControlDesk_Capture.TriggerEdge
,Trigger Level:,please see ControlDesk_Capture.TriggerLevel

ControlDesk_Description,"Description",
,"Author",
,"GeneratorVersion","ControlDesk CSV File Format Revision 1.0"

ControlDesk_RTProgram,"BoardName","ds1005"
,"DateTime","11/17/2020 20:42:02"
,"ObjectFile","d:\Program Files\MATLAB\R2006a\work\xzx_11_06_B\mpc_newpm.ppc"

ControlDesk_Capture,"Length","1"
,"Downsampling","1"
,"DateTime","11/17/2020 21:01:31"
,"Task","1"
,"SamplingPeriod","5e-005"
,"TriggerState","off"
,"TriggerSignal",
,"TriggerDelay","0"
,"TriggerLevel","0"
,"TriggerEdge","neg"


trace_size,20001
trace_types,4,5,5,5,5,5,5,5,5,5,5,5,5
trace_names,,"""Model Root""/""Goto1""/""In1""","""Model Root""/""Goto12""/""In1""","""Model Root""/""Goto14""/""In1""","""Model Root""/""Goto15""/""In1""","""Model Root""/""Goto2""/""In1""","""Model Root""/""Goto3""/""In1""","""Model Root""/""Goto33""/""In1""","""Model Root""/""Goto4""/""In1""","""Model Root""/""Goto5""/""In1""","""Model Root""/""Goto6""/""In1""","""Model Root""/""Goto8""/""In1""","""Model Root""/""Goto9""/""In1"""
trace_units,,,,,,,,,,,,,
,0.00235002,0.0350952148,0.0050820301,0.0024591924,0.00051550553,-0.053578288,-0.047411452,-0.41944417,0.27414983,99.36855941,60.20725915,19.0559286,0.010910117
,0.0024,0.0356038411,0.014811932,0.0024591924,0.00051550553,-0.11207031,-0.010198583,-0.4316512,0.27559988,99.36855941,60.20667443,19.05611109,0.021747315
,0.00245001,0.0350952148,-0.016425592,0.0024591924,0.00051550553,-0.24024414,0.076918514,-0.42351318,0.25521098,99.36855941,60.20585023,19.05550888,0.058073977
,0.00250002,0.0356038411,-0.031127437,0.0025092722,0.00049365003,-0.26516683,0.089994039,-0.44487549,0.26548631,99.36855941,60.20685832,19.05462862,0.035930201
,0.00255,0.0356038411,-0.0042563628,0.0025092722,0.00049365003,-0.18989014,0.043028275,-0.44029785,0.27149894,99.30423234,60.20610183,19.0545122,-0.02586816
,0.00260001,0.0356038411,-0.011959037,0.0025092722,0.00049365003,-0.094268392,-0.01123276,-0.40825439,0.2632685,99.30423234,60.20668057,19.05418545,-0.02695884
,0.00265002,0.0345865885,-0.0077714065,0.0025279398,0.00047090553,-0.045440267,-0.046187775,-0.42656494,0.28076133,99.30423234,60.20672797,19.05411699,-0.001379181
,0.0027,0.0340779622,0.013802623,0.0025279398,0.00047090553,-0.11054443,-0.0053746343,-0.44029785,0.28069571,99.30423234,60.20607801,19.05431348,0.024111804
,0.00275001,0.0356038411,-0.018130518,0.0025279398,0.00047090553,-0.23261475,0.078669099,-0.42910807,0.25762086,99.30423234,60.20527873,19.0536559,0.059961614
,0.00280002,0.0350952148,-0.031822221,0.0025580841,0.00044120451,-0.26364095,0.094557212,-0.45555664,0.26939412,99.30423234,60.20629552,19.05277054,0.03540279
,0.00285,0.0361124674,-0.0023787948,0.0025580841,0.00044120451,-0.18989014,0.049074853,-0.45199626,0.27776464,99.30423234,60.2055807,19.0527054,-0.024421989
,0.00290001,0.0361124674,-0.0097821827,0.0025580841,0.00044120451,-0.094268392,-0.0052704912,-0.41944417,0.27086089,99.30423234,60.20611123,19.05243471,-0.027196924
,0.00295002,0.0356038411,-0.007457078,0.0025827218,0.00042097293,-0.051543783,-0.035449531,-0.43775472,0.28873937,99.30423234,60.20621698,19.0523594,-0.0030764114
,0.003,0.0361124674,0.013626647,0.0025827218,0.00042097293,-0.11664795,0.0054530291,-0.45352214,0.28922433,99.30423234,60.20544584,19.05257719,0.02850881
,0.00305001,0.0361124674,-0.017752819,0.0025827218,0.00042097293,-0.24075277,0.089134947,-0.44385824,0.26353384,99.30423234,60.20472156,19.05194081,0.058320916
,0.00310002,0.0356038411,-0.031295849,0.0026340329,0.00037776281,-0.2260026,0.08519033,-0.41944417,0.24956317,99.30423234,60.20558481,19.05108554,0.029416859
,0.00315,0.0356038411,-0.02773041,0.0026340329,0.00037776281,-0.12783773,0.028724768,-0.38790934,0.24494934,99.30423234,60.20425081,19.05032592,-0.04558442
,0.00320001,0.0356038411,-0.0092376994,0.0026340329,0.00037776281,-0.083078613,-0.0018390352,-0.40418538,0.26271845,99.30423234,60.20419383,19.05019402,0.0019383904
,0.00325002,0.0366210937,0.013052446,0.0026340329,0.00037776281,-0.15072591,0.040182277,-0.42351318,0.26414204,99.30423234,60.20349645,19.05047688,0.027765905
,0.0033,0.0350952148,-0.016944918,0.0026340329,0.00037776281,-0.19294189,0.063595402,-0.4489445,0.27228784,99.30423234,60.20287018,19.04983487,0.057985386
